"Date","Store.ID","Product.ID","Category","Region","Inventory.Level","Units.Sold","Units.Ordered","Demand.Forecast","Price","Discount","Weather.Condition","Holiday.Promotion","Competitor.Pricing","Seasonality","Weather_Enc","Season_Enc","Region_East","Region_South","Region_West","DayOfWeek","DayOfMonth","Month","WeekOfYear","IsWeekend","Units_Sold_Lag1","Inventory_Lag1","Units_Sold_Lag3","Inventory_Lag3","Units_Sold_Lag7","Inventory_Lag7","Units_Sold_Lag14","Inventory_Lag14","Rolling_Mean_7d","Rolling_Std_7d","Rolling_Mean_14d"
2022-03-11,"S001","P0001","Groceries","North",0.662222222222222,0.320090805902384,0.933333333333333,0.366691152509983,0.407823091454606,0.5,"Snowy",1,0.450542822677925,"Summer",3,1,0,0,0,4,11,3,10,0,0.211123723041998,0.368888888888889,0.292849035187287,0.226666666666667,0.47900113507378,0.846666666666667,0.288308740068104,0.402222222222222,0.476123595505618,0.540044038457532,0.406573541495481
2022-03-16,"S001","P0001","Groceries","South",0.448888888888889,0.522133938706016,0.588888888888889,0.560110904300856,0.305811756861874,0.25,"Cloudy",0,0.311921994370728,"Autumn",1,2,0,1,0,2,16,3,11,0,0.320090805902384,0.662222222222222,0.240635641316686,0.26,0.633371169125993,0.82,0.183881952326901,0.146666666666667,0.453183520599251,0.503766636872719,0.455546425636812
2022-03-17,"S001","P0001","Groceries","South",0.164444444444444,0.202043132803632,0.366666666666667,0.248628884826325,0.231247916435159,0.75,"Sunny",1,0.255830317651789,"Spring",0,0,0,1,0,3,17,3,11,0,0.522133938706016,0.448888888888889,0.211123723041998,0.368888888888889,0.794551645856981,0.906666666666667,0.1316685584563,0.0777777777777778,0.330992509363296,0.286491355674778,0.465735414954807
2022-03-21,"S001","P0001","Groceries","North",0.111111111111111,0.1316685584563,0.777777777777778,0.185378085354336,0.730636737415268,0.75,"Sunny",1,0.721652593486128,"Summer",0,1,0,0,0,0,21,3,12,0,0.202043132803632,0.164444444444444,0.320090805902384,0.662222222222222,0.036322360953462,0.353333333333333,0.333711691259932,0.417777777777778,0.35065543071161,0.23917421850676,0.436483155299918
2022-03-26,"S001","P0001","Groceries","South",0.0688888888888889,0.00908059023836549,0.6,0.0726842927917727,0.799311034559396,1,"Snowy",1,0.794632086851629,"Summer",3,1,0,1,0,5,26,3,12,1,0.1316685584563,0.111111111111111,0.522133938706016,0.448888888888889,0.292849035187287,0.226666666666667,0.399545970488082,0.533333333333333,0.292134831460674,0.314748543852712,0.379950698438784
2022-03-28,"S001","P0001","Groceries","West",0.762222222222222,0.111237230419977,0.205555555555556,0.158955467062859,0.650516724080453,0,"Rainy",0,0.607056694813028,"Summer",2,1,0,0,1,0,28,3,13,0,0.00908059023836549,0.0688888888888889,0.202043132803632,0.164444444444444,0.240635641316686,0.26,0.220204313280363,0.12,0.265449438202247,0.32897731573753,0.36417419884963
2022-03-30,"S001","P0001","Groceries","South",0.642222222222222,0.308740068104427,0.95,0.363664481351177,0.245249472163574,0,"Snowy",0,0.301367108966626,"Autumn",3,2,0,1,0,2,30,3,13,0,0.111237230419977,0.762222222222222,0.1316685584563,0.111111111111111,0.211123723041998,0.368888888888889,0.156640181611805,0.186666666666667,0.285580524344569,0.337029179299609,0.386195562859491
2022-04-05,"S001","P0001","Groceries","East",0.575555555555556,0.374574347332577,0.472222222222222,0.412312144794181,0.891654628292032,0.5,"Snowy",0,0.890631282669883,"Winter",3,3,1,0,0,1,5,4,14,0,0.308740068104427,0.642222222222222,0.00908059023836549,0.0688888888888889,0.320090805902384,0.662222222222222,0.47900113507378,0.846666666666667,0.296816479400749,0.35028589929553,0.371076417419885
2022-04-06,"S001","P0001","Groceries","West",0.604444444444444,0.358683314415437,0.05,0.408644791419277,0.151683520391155,0.5,"Rainy",0,0.149979895456373,"Spring",2,0,0,0,1,2,6,4,14,0,0.374574347332577,0.575555555555556,0.111237230419977,0.762222222222222,0.522133938706016,0.448888888888889,0.633371169125993,0.82,0.26310861423221,0.267927024101304,0.331306491372227
2022-04-09,"S001","P0001","Groceries","North",0.855555555555556,0.274687854710556,0.222222222222222,0.273505028803084,0.657073008112012,0.75,"Cloudy",1,0.601326899879373,"Spring",1,0,0,0,0,5,9,4,14,1,0.358683314415437,0.604444444444444,0.308740068104427,0.642222222222222,0.202043132803632,0.164444444444444,0.794551645856981,0.906666666666667,0.278089887640449,0.271662331702624,0.256039441248973
2022-04-10,"S001","P0001","Groceries","East",0.537777777777778,0.640181611804767,1,0.688556642383338,0.960995666185132,0.25,"Sunny",0,0.876457579412947,"Summer",0,1,1,0,0,6,10,4,14,1,0.274687854710556,0.855555555555556,0.374574347332577,0.575555555555556,0.1316685584563,0.111111111111111,0.036322360953462,0.353333333333333,0.382958801498127,0.408906517321184,0.343467543138866
2022-04-11,"S001","P0001","Groceries","South",0.724444444444444,0.812712826333712,0.955555555555556,0.833372915711627,0.404822758084232,0,"Rainy",1,0.452251708886208,"Spring",2,0,0,1,0,0,11,4,15,0,0.640181611804767,0.537777777777778,0.358683314415437,0.604444444444444,0.00908059023836549,0.0688888888888889,0.292849035187287,0.226666666666667,0.548689138576779,0.485392813833184,0.41873459326212
2022-04-16,"S001","P0001","Groceries","East",0.877777777777778,0.415437003405221,0.127777777777778,0.412577254676704,0.720191132348039,0.5,"Cloudy",0,0.737736228387616,"Spring",1,0,1,0,0,5,16,4,15,1,0.812712826333712,0.724444444444444,0.274687854710556,0.855555555555556,0.111237230419977,0.762222222222222,0.240635641316686,0.26,0.611423220973783,0.397687371192384,0.444042728019721
2022-04-18,"S001","P0001","Groceries","South",0.597777777777778,0.106696935300795,0.916666666666667,0.105977675538643,0.487054117124125,1,"Rainy",0,0.452854845195014,"Winter",2,3,0,1,0,0,18,4,16,0,0.415437003405221,0.877777777777778,0.640181611804767,0.537777777777778,0.308740068104427,0.642222222222222,0.211123723041998,0.368888888888889,0.569756554307116,0.478116026592768,0.428923582580115
2022-04-22,"S001","P0001","Groceries","West",0.793333333333333,0.919409761634506,0.266666666666667,0.930027560381537,0.931547949772197,0.75,"Snowy",0,0.921290711700844,"Autumn",3,2,0,0,1,4,22,4,16,0,0.106696935300795,0.597777777777778,0.812712826333712,0.724444444444444,0.374574347332577,0.575555555555556,0.320090805902384,0.662222222222222,0.682116104868914,0.615976855840059,0.51569433032046
2022-04-26,"S001","P0001","Groceries","South",0.975555555555556,1,0.433333333333333,0.99939797964177,0.212690298922102,0.5,"Cloudy",0,0.239143546441496,"Winter",1,3,0,1,0,1,26,4,17,0,0.919409761634506,0.793333333333333,0.415437003405221,0.877777777777778,0.358683314415437,0.604444444444444,0.522133938706016,0.448888888888889,0.81437265917603,0.712273147536374,0.584880854560394
2022-04-28,"S001","P0001","Groceries","South",0.662222222222222,0.758229284903519,0.816666666666667,0.749797025246193,0.411823535948439,0.5,"Rainy",1,0.438580619219944,"Autumn",2,2,0,1,0,3,28,4,17,0,1,0.975555555555556,0.106696935300795,0.597777777777778,0.274687854710556,0.855555555555556,0.202043132803632,0.164444444444444,0.914091760299625,0.650082683491604,0.665406737880033
2022-04-29,"S001","P0001","Groceries","South",0.597777777777778,0.0612939841089671,0.561111111111111,0.09077804227398,0.275697299699967,0,"Rainy",1,0.334238037796542,"Winter",2,3,0,1,0,4,29,4,17,0,0.758229284903519,0.662222222222222,0.919409761634506,0.793333333333333,0.640181611804767,0.537777777777778,0.1316685584563,0.111111111111111,0.794709737827715,0.816556689898101,0.655217748562038
2022-05-06,"S001","P0001","Groceries","South",0.451111111111111,0.0590238365493757,0.327777777777778,0.111324058169527,0.862540282253584,0.5,"Rainy",1,0.840068355448331,"Spring",2,0,0,1,0,4,6,5,18,0,0.0612939841089671,0.597777777777778,1,0.975555555555556,0.812712826333712,0.724444444444444,0.00908059023836549,0.0688888888888889,0.639279026217228,0.8803941079943,0.662448644207067
2022-05-13,"S001","P0001","Groceries","North",0.991111111111111,0.81044267877412,0.0888888888888889,0.803746886339661,0.0471163462606956,0.25,"Cloudy",0,0.067048652995577,"Spring",1,0,0,0,0,4,13,5,19,0,0.0590238365493757,0.451111111111111,0.758229284903519,0.662222222222222,0.415437003405221,0.877777777777778,0.111237230419977,0.762222222222222,0.720739700374532,0.918264740266823,0.763681183237469
2022-05-16,"S001","P0001","Groceries","North",0.286666666666667,0.274687854710556,0.0666666666666667,0.271096947370165,0.967440826758529,0.75,"Sunny",1,0.926517893043828,"Spring",0,0,0,0,0,0,16,5,20,0,0.81044267877412,0.991111111111111,0.0612939841089671,0.597777777777778,0.106696935300795,0.597777777777778,0.308740068104427,0.642222222222222,0.755383895131086,0.866537552184491,0.758751027115859
